cargo_id,description,weight_kg,volume_m3,revenue_usd,priority,is_hazardous,hazard_class,requires_cold_chain,destination
C001,Medicamentos,450,2.5,5200,3,False,,True,LIM
C002,Electronica,800,4.0,6800,2,False,,False,MIA
C003,Repuestos industriales,1200,6.5,7500,2,False,,False,MIA
C004,Alimentos perecibles,600,3.2,4900,3,False,,True,LIM
C005,Textiles,900,5.5,3500,1,False,,False,MIA
C006,Documentos urgentes,100,0.5,1800,3,False,,False,LIM
C007,Maquinaria ligera,1500,7.0,8200,1,False,,False,MIA
C008,Productos farmaceuticos,500,2.8,5900,3,False,,True,LIM
C009,Equipamiento medico,1100,5.0,8800,3,False,,False,MIA
C010,Productos retail,700,4.2,4200,1,False,,False,LIM
C011,Baterias de litio,350,1.8,6500,3,True,CLASS_9,False,MIA
C012,Productos inflamables,400,2.0,6100,2,True,CLASS_3,False,MIA
C013,Vacunas refrigeradas,300,1.5,7200,3,False,,True,LIM
C014,Componentes aeronauticos,750,3.5,7600,2,False,,False,MAD
